,_INIT,_LEXEME,_INT,_STRING1,_DIV,_REAL3,_PLUS,_MINUS,_TRIPLE,_DOUBLE,_SINGLE,_TRIPLE1,_PREEXIT,_COMMENT,_REAL0
SPACE,,_INIT,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    NEWLN,,_INIT,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_INIT,_BAD_REAL0_ERR
    EOF,,_DELIMITER_OUT,_OUT_LEX,_OUT_INT,_UNTERM_STR_ERR,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    CHAR\Ee,,_LEXEME,_LEXEME,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    DIGIT,,_INT,_LEXEME,_INT,_STRING1,_DELIMITER_OUT,_REAL3,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_REAL3
    APOS1,,_STRING1,_OUT_LEX,_OUT_INT,OUTSTRING,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    SLASH,,_DIV,_OUT_LEX,_OUT_INT,_STRING1,_COMMENT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    EQU,,_TRIPLE,_OUT_LEX,_OUT_INT,_STRING1,_PREEXIT,_OUT_REAL0,_PREEXIT,_PREEXIT,_TRIPLE1,_PREEXIT,_DELIMITER_OUT,_PREEXIT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    DOUBLE,,_DOUBLE,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    PLUS,,_PLUS,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_PREEXIT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    MINUS,,_MINUS,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_PREEXIT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
DOT,_SINGLE,_OUT_LEX,_REAL0,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    NOT,,_TRIPLE,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    OTHER,,_SINGLE,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
    UNRECOGNIZED,_UNKNOWN_CHAR_ERR,_OUT_LEX,_OUT_INT,_STRING1,_DELIMITER_OUT,_OUT_REAL0,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_DELIMITER_OUT,_COMMENT,_BAD_REAL0_ERR
